sizeof(int64_t)=8 sizeof(char)1
return new_buf:3158047 8240
return new_buf:3211569 255
return new_buf:286267904 1048576
return new_buf:16836611 59433
return new_buf:1048640 1048640
return new_buf:8267211 8267008
return new_buf:33554499 2
return new_buf:553648256 1792
return new_buf:3244159 12
return new_buf:471345 471303
return new_buf:808583039 16445184
return new_buf:12581 25
return new_buf:3158065 262167
return new_buf:2105415 2105415
return new_buf:808464433 131121
return new_buf:808464433 369098752
return new_buf:808464436 808464433
return new_buf:546517297 8192
return new_buf:9503025 14592
return new_buf:858794234 268435488
